País,Volume Litro,Valor,Valor Litro,Temperatura
Alemanha,33560,190968.0,5.690345649582837,9.59
Angola,90675,484027.0,5.338042459332782,21.77
Antigua e Barbuda,138,690.0,5.0,
Argentina,13250,91376.0,6.896301886792453,16.3
Aruba,18,7.0,0.3888888888888889,29.17
Austrália,2560,12160.0,4.75,22.5
Bahamas,757,2052.0,2.7107001321003965,25.58
Bangladesh,1,28.0,28.0,25.71
Barbados,118,483.0,4.093220338983051,26.61
Bélgica,109172,529050.0,4.8460227897263035,10.67
Benim,27,200.0,7.407407407407407,28.2
Bermudas,12,58.0,4.833333333333333,21.67
Bolívia,73556,257535.0,3.501209962477568,20.76
Bósnia-Herzegovina,178,214.0,1.202247191011236,
Cabo Verde,2,12.0,6.0,22.53
Camarões,4228,16361.0,3.869678334910123,24.8
Canadá,12157,60607.0,4.985358229826438,-4.3
Catar,124,11117.0,89.65322580645162,28.2
Ilhas Cayman,21,81.0,3.857142857142857,27.82
Chile,64958,498642.0,7.676375504171927,9.39
China,159989,527783.0,3.2988705473501305,7.59
Chipre,1100,3375.0,3.0681818181818183,20.1
Singapura,75745,262675.0,3.4678856690210575,
Colômbia,56505,190140.0,3.3650119458455006,25.0
Coreia do Sul,5829,26082.0,4.474523932063819,
Cuba,1,2.0,2.0,25.81
Curaçau,17651,73857.0,4.184295507336695,
Dinamarca,6097,43780.0,7.180580613416434,8.9
Dominica,798,1966.0,2.463659147869674,
El Salvador,1,10.0,10.0,25.23
Emirados Árabes Unidos,258,4062.0,15.744186046511627,28.17
Equador,677,2503.0,3.6971935007385524,21.43
Espanha,7360,75274.0,10.227445652173913,13.7
Estados Unidos,2944203,8204523.0,2.7866702805479107,9.46
Ilhas Malvinas,360,2081.0,5.780555555555556,
Filipinas,121,609.0,5.033057851239669,26.27
Finlândia,8780,44783.0,5.100569476082004,2.46
França,38608,318191.0,8.241582055532533,11.65
Gana,18912,101166.0,5.349302030456853,27.66
Gibraltar,43,85.0,1.9767441860465116,18.15
Granada,1122,3050.0,2.7183600713012477,26.49
Grécia,478,1837.0,3.8430962343096233,13.17
Guatemala,1696,9830.0,5.7959905660377355,23.65
Guiana,19664,97667.0,4.966792107404394,26.12
Guiné Equatorial,7738,17056.0,2.2041871284569656,24.66
Haiti,15120,34240.0,2.2645502645502646,24.95
Hong Kong,21994,86963.0,3.953941984177503,
Hungria,96,668.0,6.958333333333333,11.5
Ilha de Man,2,20.0,10.0,9.65
Irlanda,20,48.0,2.4,9.73
Islândia,10,45.0,4.5,1.85
Itália,5896,42509.0,7.209803256445047,13.2
Japão,113859,425128.0,3.7338111172590662,11.78
Jordânia,30,103.0,3.433333333333333,20.5
Letônia,158,2426.0,15.354430379746836,6.87
Libéria,5485,18782.0,3.4242479489516864,25.45
Luxemburgo,2111,11570.0,5.480814779725248,10.2
Líbano,1919,6848.0,3.5685252735799895,15.45
Maldivas,10821,43211.0,3.99325385823861,28.11
Malta,4078,51788.0,12.699362432564984,20.6
Ilhas Marshall,7431,20455.0,2.7526577849549185,28.1
Montenegro,9,24.0,2.6666666666666665,9.93
México,737,2476.0,3.359565807327001,21.31
Nigéria,14171,60301.0,4.255239573777433,27.3
Noruega,28926,140922.0,4.8718108276291225,2.21
Nova Zelândia,897,6796.0,7.576365663322185,10.46
Panamá,23078,102054.0,4.422133633763758,25.6
Paraguai,539618,1537335.0,2.8489320222824293,23.92
Países Baixos,11211,67965.0,6.062349478191062,
Peru,2281,8989.0,3.9408154318281454,20.7
Peru,2281,8989.0,3.9408154318281454,11.66
Polônia,42480,134948.0,3.1767419962335217,8.78
Porto Rico,145,3248.0,22.4,25.4
Portugal,6495,101184.0,15.578752886836028,15.85
Quênia,100,1512.0,15.12,25.8
Reino Unido,298560,1385593.0,4.64091974812433,9.24
República Tcheca,331,1818.0,5.492447129909365,
Rússia,120409,50880.0,0.422559775432069,-3.79
Serra Leoa,1171,5662.0,4.835183603757472,26.54
Singapura,2355,8953.0,3.8016985138004245,
Suriname,921,4312.0,4.681867535287731,26.58
Suécia,882,4430.0,5.022675736961451,3.23
Suíça,19070,158909.0,8.332931305715784,6.47
Tailândia,70,748.0,10.685714285714285,26.85
Taiwan,8468,37659.0,4.447213037316958,
República Tcheca,167,1236.0,7.401197604790419,
Trinidad e Tobago,315,1470.0,4.666666666666667,26.55
Turquia,7030,26946.0,3.833001422475107,
Uruguai,101811,446380.0,4.384398542397187,17.97
Vanuatu,14,31.0,2.2142857142857144,24.44
Venezuela,928,4944.0,5.327586206896552,25.71
Vietnã,160,393.0,2.45625,24.79
África do Sul,2,44.0,22.0,18.23
Índia,43,120.0,2.7906976744186047,24.94
