País,Ano,Volume Litro,Valor,PIB
Alemanha,2014,9236,62169.0,3965800686309.79
Angola,2014,6866,22423.0,135966802586.713
Austrália,2014,618,3951.0,1468265356427.76
Bélgica,2014,104153,499164.0,537987419164.351
Bolívia,2014,9,250.0,32996188012.5599
Canadá,2014,1847,13240.0,1805749878439.94
China,2014,5959,35190.0,10475624944355.2
Singapura,2014,113,700.0,314863580758.455
Coreia do Sul,2014,4950,22797.0,1484488526271.8
Dinamarca,2014,1296,6917.0,352832602064.452
Estados Unidos,2014,39748,136533.0,17608138000000.0
França,2014,7808,42952.0,2861236112552.42
Guiana,2014,1,6.0,4127660151.8087
Hong Kong,2014,7556,32582.0,291459995978.893
Itália,2014,180,832.0,2173255507985.84
Japão,2014,22290,104395.0,4896994405353.29
Luxemburgo,2014,1080,5790.0,68804811897.6445
Noruega,2014,24616,119690.0,501736471832.848
Nova Zelândia,2014,150,554.0,201337554959.49
Países Baixos,2014,8280,51852.0,901556501756.467
Paraguai,2014,28038,96500.0,40377929295.6419
Polônia,2014,206,1245.0,542134167178.627
Reino Unido,2014,131483,607711.0,3064708247921.43
República Tcheca,2014,7,66.0,210911285077.683
Suécia,2014,98,534.0,577730245154.162
Suíça,2014,10936,111259.0,726537808338.0
Suriname,2014,31,88.0,5240606060.60606
Trinidad e Tobago,2014,315,1470.0,29697674913.5408
Uruguai,2014,34463,128510.0,61496186973.902
Venezuela,2014,2,46.0,
Alemanha,2015,6256,30939.0,3423568450957.03
Austrália,2015,235,1368.0,1351296372254.31
Bélgica,2015,900,5280.0,461044767544.531
Bolívia,2015,2418,11355.0,33000198248.1292
Canadá,2015,2405,15821.0,1556508816217.14
China,2015,23520,48739.0,11061572618578.7
Dinamarca,2015,726,4376.0,301758922337.637
Estados Unidos,2015,18450,92868.0,18295019000000.0
França,2015,16246,203297.0,2442483452642.5
Guiana,2015,22,221.0,4279840193.7046
Hong Kong,2015,414,2693.0,309385622601.348
Japão,2015,1826,18118.0,4444930651964.18
Noruega,2015,3192,10099.0,388159512245.53
Nova Zelândia,2015,233,822.0,178104220784.881
Países Baixos,2015,1665,7907.0,775743675302.734
Paraguai,2015,29016,70845.0,36211447840.0971
Polônia,2015,225,2310.0,480054118583.367
Porto Rico,2015,45,1736.0,103375500000.0
Reino Unido,2015,16511,97055.0,2927911140916.73
República Tcheca,2015,23,278.0,189107698561.919
Suécia,2015,292,2190.0,501698263620.663
Suíça,2015,1080,9648.0,694118186379.628
Suriname,2015,8,19.0,5126237646.22072
Uruguai,2015,19574,74551.0,57680327998.6689
Alemanha,2016,4293,19088.0,3537784107980.55
Angola,2016,90,1010.0,52761617225.9253
Austrália,2016,594,2602.0,1206836962281.84
Bolívia,2016,2624,12811.0,33941126200.0606
Canadá,2016,901,3821.0,1527994741907.43
Chile,2016,10340,41824.0,249344863933.461
China,2016,4610,20931.0,11233313730348.7
Colômbia,2016,617,1532.0,282720100286.228
Coreia do Sul,2016,212,1180.0,1499679823909.61
Dinamarca,2016,68,538.0,312181849372.233
Estados Unidos,2016,22615,143306.0,18804913000000.0
Finlândia,2016,7522,35948.0,238777818792.608
Guiné Equatorial,2016,7738,17056.0,11240808847.8878
Hong Kong,2016,225,1704.0,320860317562.562
Itália,2016,135,780.0,1887111188176.93
Japão,2016,3658,14766.0,5003677627544.24
Luxemburgo,2016,45,521.0,62216885435.9488
Nigéria,2016,68,445.0,404649125252.16
Paraguai,2016,40197,123169.0,36089700222.9461
Reino Unido,2016,56615,223774.0,2689106566899.61
República Tcheca,2016,94,532.0,198160659303.939
Suécia,2016,140,352.0,514218206628.325
Suíça,2016,270,2719.0,687895460902.713
Taiwan,2016,2706,13484.0,
Uruguai,2016,7656,28085.0,57480788390.2581
Venezuela,2016,16,13.0,
Alemanha,2017,4824,28799.0,3763092263752.95
Austrália,2017,595,2276.0,1325582658156.54
Bélgica,2017,450,2646.0,500908767351.53
Bolívia,2017,1668,21056.0,37508642165.3366
Camarões,2017,4138,16077.0,36098547033.1655
Chile,2017,25439,231696.0,276154259987.103
China,2017,11646,35671.0,12310491333980.9
Colômbia,2017,595,2600.0,311866875156.879
Coreia do Sul,2017,442,1470.0,1623074183501.9
Curaçau,2017,991,5808.0,
Espanha,2017,5013,64735.0,1321754088818.83
Estados Unidos,2017,22605,170620.0,19612102000000.0
Guiana,2017,4,61.0,4748174334.14044
Hong Kong,2017,450,2705.0,341273289534.466
Itália,2017,1467,8382.0,1970720904584.71
Japão,2017,48604,133203.0,4930837369151.42
Letônia,2017,158,2426.0,29391059767.4259
Luxemburgo,2017,360,1825.0,65712180342.9836
Nova Zelândia,2017,196,1021.0,206566916732.292
Paraguai,2017,80951,255320.0,38997129473.5558
Portugal,2017,756,11568.0,220862990767.229
Quênia,2017,100,1512.0,82036510877.2599
Reino Unido,2017,27700,101672.0,2680148052335.3
República Tcheca,2017,207,942.0,221563575696.217
Suécia,2017,298,1136.0,536083940228.684
Suíça,2017,1890,16884.0,695200833086.499
Taiwan,2017,1507,6574.0,
Uruguai,2017,13237,48581.0,65006039994.56
Venezuela,2017,455,2205.0,
Alemanha,2018,4092,21373.0,4052008447223.53
Angola,2018,63,280.0,79450688259.3664
Argentina,2018,4342,17243.0,524819892360.176
Aruba,2018,18,7.0,3276184357.5419
Bahamas,2018,5,17.0,12615800000.0
Bélgica,2018,1800,10555.0,542638913427.921
Bolívia,2018,5891,25277.0,40287647930.4761
Camarões,2018,90,284.0,39955552189.795
Canadá,2018,23,94.0,1725329192783.02
Chile,2018,25481,208521.0,295857562991.709
China,2018,19490,58871.0,13894907857880.6
Singapura,2018,47214,135547.0,376892697588.005
