País,Ano,Volume Litro,Valor,PIB
Alemanha,2013,4,5.0,3808086291482.36
Angola,2013,5001,21599.0,132339109040.232
Bolívia,2013,3003,8238.0,30659338885.6729
China,2013,18588,47255.0,9570471111831.68
Colômbia,2013,13005,46435.0,382093697077.685
Coreia do Sul,2013,18550,52478.0,1370632955321.2
Estados Unidos,2013,37779,97968.0,16880683000000.0
França,2013,24,653.0,2816077607875.26
Japão,2013,3535083,10484979.0,5212328181166.18
Líbia,2013,7584,20760.0,75351107029.0605
Malásia,2013,18550,53795.0,323276235524.415
México,2013,86626,310549.0,1327436290282.67
Nigéria,2013,30,56.0,520117180313.906
Nova Zelândia,2013,18550,46376.0,190909855416.34
Países Baixos,2013,185500,475488.0,883951539006.669
Paraguai,2013,57407,106312.0,38501122141.4241
Peru,2013,10755,26560.0,201175543571.392
República Dominicana,2013,37365,83445.0,62682159338.0354
Suriname,2013,12250,45693.0,5145757575.75758
Tailândia,2013,3300,58383.0,420333654592.547
República Tcheca,2013,120,416.0,213024360541.119
Trinidad e Tobago,2013,18550,63958.0,28709859468.8597
Venezuela,2013,123975,376208.0,
Alemanha,2014,38480,23268.0,3965800686309.79
Angola,2014,1200,2880.0,135966802586.713
Argentina,2014,250,775.0,526319673731.638
Bolívia,2014,3414,7448.0,32996188012.5599
Canadá,2014,76,115.0,1805749878439.94
Chile,2014,789,4539.0,259560978231.552
Colômbia,2014,4000,13530.0,381240864422.407
Catar,2014,655,2022.0,162650450784.686
Catar,2014,655,2022.0,206224598571.429
Estados Unidos,2014,8970,25290.0,17608138000000.0
Guiné Equatorial,2014,45,385.0,21765453081.9826
Japão,2014,4450419,11610811.0,4896994405353.29
Líbia,2014,30720,96754.0,57372355592.022
México,2014,109550,281131.0,1364507717614.13
Nova Zelândia,2014,9275,24115.0,201337554959.49
Paraguai,2014,118336,192846.0,40377929295.6419
Peru,2014,10995,29702.0,200786250582.943
Porto Rico,2014,18550,48230.0,102445800000.0
Reino Unido,2014,312,1692.0,3064708247921.43
República Dominicana,2014,25970,97634.0,67179955677.2791
Suriname,2014,25250,94184.0,5240606060.60606
Tailândia,2014,4980,19920.0,407339040197.651
República Tcheca,2014,360,1184.0,210911285077.683
Trinidad e Tobago,2014,37100,127997.0,29697674913.5408
Venezuela,2014,53333,159345.0,
Alemanha,2015,6,6.0,3423568450957.03
Angola,2015,1378,1739.0,90496420506.5957
Argentina,2015,800,5992.0,594749285413.212
Austrália,2015,271,636.0,1351296372254.31
Benim,2015,438,321.0,11388160997.1089
Bolívia,2015,9867,21856.0,33000198248.1292
China,2015,6029,20101.0,11061572618578.7
Colômbia,2015,6650,18296.0,293492370193.166
Estados Unidos,2015,19753,42721.0,18295019000000.0
Filipinas,2015,102555,201996.0,306445871246.718
Hong Kong,2015,28371,39910.0,309385622601.348
Itália,2015,6,20.0,1845428048839.1
Japão,2015,2036338,4596349.0,4444930651964.18
Líbia,2015,33156,87798.0,48717501321.3052
México,2015,82377,238026.0,1213294467716.88
