País,Volume Litro,Valor,Valor Litro,Temperatura
África do Sul,82.0,318.0,3.8780487804878048,18.23
Alemanha,20492344.0,41938671.0,2.0465531419929315,9.59
Angola,90.0,178.0,1.9777777777777779,21.77
Antigua e Barbuda,1509.0,5278.0,3.4976805831676607,
Arábia Saudita,293257.0,624333.0,2.1289619685122605,25.94
Argentina,19580465.0,37144858.0,1.8970365616955471,16.3
Argélia,20672.0,30968.0,1.4980650154798762,23.6
Bahamas,43095.0,110965.0,2.5748926789650772,25.58
Bangladesh,301.0,988.0,3.2823920265780733,25.71
Barbados,788.0,2481.0,3.1484771573604062,26.61
Barein,2450.0,8952.0,3.653877551020408,
Belize,264.0,545.0,2.0643939393939394,25.7
Bermudas,1131.0,4396.0,3.886825817860301,21.67
Bolívia,924232.0,504312.0,0.5456552034554094,20.76
Brasil,367.0,972.0,2.64850136239782,25.44
Bulgária,100.0,170.0,1.7,11.35
Burquina Faso,10.0,37.0,3.7,
Bélgica,485438.0,979940.0,2.018671797428302,10.67
Bósnia,499.0,539.0,1.0801603206412826,
Camarões,60.0,215.0,3.5833333333333335,24.8
Comores,30.0,109.0,3.6333333333333333,23.73
Canadá,2685186.0,8953726.0,3.334490050223709,-4.3
Catar,9370.0,26018.0,2.776734258271078,28.2
Ilhas Cayman,1545.0,5181.0,3.353398058252427,27.82
Chile,644.0,27866.0,43.27018633540373,9.39
China,6627.0,24763.0,3.7366832654293045,7.59
Chipre,12084.0,32540.0,2.6928169480304534,20.1
Singapura,15719.0,58580.0,3.7267001717666517,
Ilhas Cocos (Keeling),32.0,55.0,1.71875,26.79
Colômbia,38.0,107.0,2.8157894736842106,25.0
Congo,20.0,54.0,2.7,
Ilhas Cook,116.0,839.0,7.232758620689655,24.71
Coreia do Norte,30.0,119.0,3.966666666666667,
Coreia do Sul,1303.0,3658.0,2.807367613200307,
Costa do Marfim,16.0,34.0,2.125,26.8
Catar,32572.0,128954.0,3.959044578165295,28.2
Croácia,51.0,169.0,3.3137254901960786,11.96
Curaçau,10.0,16.0,1.6,
Dinamarca,702260.0,1546285.0,2.201869677897075,8.9
Djibuti,25.0,41.0,1.64,28.49
Egito,90.0,326.0,3.6222222222222222,23.14
Emirados Árabes Unidos,6773685.0,18024868.0,2.661013613712477,28.17
Eslovênia,20.0,59.0,2.95,9.86
Espanha,15612706.0,29381391.0,1.881889724945823,13.7
Estados Unidos,62261957.0,176700896.0,2.838023481979534,9.46
Ilhas Malvinas,146.0,347.0,2.3767123287671232,
Ilhas Faroé,25.0,98.0,3.92,6.6
Filipinas,1774.0,5095.0,2.872040586245772,26.27
Finlândia,424201.0,931338.0,2.1955110902614563,2.46
França,6384.0,34453.0,5.396773182957394,11.65
Gabão,103.0,369.0,3.5825242718446604,25.2
Gana,100.0,280.0,2.8,27.66
Geórgia,26928.0,56010.0,2.0799910873440286,9.1
Gibraltar,980.0,2947.0,3.007142857142857,18.15
