País,Ano,Volume Litro,Valor,PIB
Alemanha,2013,2457655.0,5316776.0,3808086291482.36
Argentina,2013,32640.0,73440.0,552025140252.246
Canadá,2013,725927.0,1858772.0,1846597421834.98
Catar,2013,8.0,28.0,174168116687.215
Catar,2013,8.0,28.0,198727642967.033
Dinamarca,2013,111100.0,298900.0,344631016965.12
Emirados Árabes Unidos,2013,233100.0,545937.0,400218529747.597
Estados Unidos,2013,2666978.0,5673245.0,16880683000000.0
Finlândia,2013,304120.0,971821.0,270268036626.275
Guiné Equatorial,2013,2912.0,14609.0,21948834283.7856
Irlanda,2013,80500.0,98900.0,243301556084.989
Itália,2013,48000.0,144696.0,2153225581941.46
Lituânia,2013,119288.0,263523.0,46303660422.0434
Noruega,2013,1213647.0,3776488.0,526014468085.106
Países Baixos,2013,20822086.0,48735513.0,883951539006.669
Portugal,2013,10.0,11.0,226677408291.745
Reino Unido,2013,13294489.0,32153501.0,2784853502534.29
Rússia,2013,61440.0,176640.0,2292470078346.22
Suécia,2013,957936.0,2773969.0,584128116410.29
Uruguai,2013,48720.0,117918.0,61337621933.7857
Alemanha,2014,1649514.0,3524291.0,3965800686309.79
Bélgica,2014,16848.0,21255.0,537987419164.351
Canadá,2014,292980.0,761641.0,1805749878439.94
Dinamarca,2014,97760.0,272459.0,352832602064.452
Emirados Árabes Unidos,2014,918000.0,2560696.0,414105366758.911
Estados Unidos,2014,61300.0,175546.0,17608138000000.0
Finlândia,2014,152500.0,386650.0,273478528954.901
Guiné Equatorial,2014,4000.0,23363.0,21765453081.9826
Lituânia,2014,255411.0,534737.0,48306546656.9281
Noruega,2014,918992.0,2423945.0,501736471832.848
Países Baixos,2014,14927182.0,33260983.0,901556501756.467
Reino Unido,2014,8957593.0,22621039.0,3064708247921.43
Rússia,2014,66912.0,150552.0,2059241589895.01
Uruguai,2014,28960.0,73671.0,61496186973.902
Alemanha,2015,3277187.0,6532957.0,3423568450957.03
Arábia Saudita,2015,61200.0,140760.0,669484266666.667
Bélgica,2015,88832.0,219060.0,461044767544.531
Canadá,2015,239200.0,582653.0,1556508816217.14
Dinamarca,2015,118565.0,289554.0,301758922337.637
Emirados Árabes Unidos,2015,1341949.0,3423418.0,370275469560.166
Estados Unidos,2015,500450.0,1643930.0,18295019000000.0
Finlândia,2015,123500.0,253387.0,233210733506.25
Lituânia,2015,133236.0,208166.0,41540954817.2039
Nigéria,2015,61200.0,82620.0,493026682800.63
Noruega,2015,604000.0,1490491.0,388159512245.53
Países Baixos,2015,17860220.0,34025630.0,775743675302.734
Reino Unido,2015,9569389.0,22726525.0,2927911140916.73
Rússia,2015,208715.0,335657.0,1363482182197.71
Suécia,2015,89000.0,174394.0,501698263620.663
Uruguai,2015,108040.0,177749.0,57680327998.6689
Alemanha,2016,2384112.0,5161080.0,3537784107980.55
Argentina,2016,1156368.0,2340897.0,557532320662.955
Canadá,2016,110752.0,287454.0,1527994741907.43
Chile,2016,14.0,25963.0,249344863933.461
Dinamarca,2016,12000.0,29594.0,312181849372.233
Emirados Árabes Unidos,2016,1648528.0,4118900.0,369255326235.771
Espanha,2016,14400.0,36070.0,1243015667917.12
Estados Unidos,2016,425988.0,1321045.0,18804913000000.0
Finlândia,2016,24000.0,65352.0,238777818792.608
Irlanda,2016,162885.0,433477.0,305733136180.907
Islândia,2016,12000.0,36321.0,20793168030.9524
Noruega,2016,661500.0,1603529.0,370956547619.048
Países Baixos,2016,16136676.0,32374970.0,797163949289.885
Reino Unido,2016,7619756.0,16444532.0,2689106566899.61
Suécia,2016,357380.0,772718.0,514218206628.325
Uruguai,2016,86816.0,203228.0,57480788390.2581
Alemanha,2017,3353831.0,6730502.0,3763092263752.95
Argentina,2017,2872152.0,5757072.0,643628393281.364
Canadá,2017,12983.0,74228.0,1649265644244.09
Emirados Árabes Unidos,2017,1645205.0,4252353.0,390516804016.501
Espanha,2017,28872.0,51966.0,1321754088818.83
Estados Unidos,2017,1820656.0,5180800.0,19612102000000.0
Finlândia,2017,111720.0,202785.0,253846138440.0
França,2017,63.0,16.0,2588868323334.71
Irlanda,2017,199402.0,565158.0,348532394023.595
Luxemburgo,2017,1416.0,2074.0,65712180342.9836
Noruega,2017,518000.0,1309866.0,401745275035.261
Países Baixos,2017,24328153.0,50499751.0,848233537845.884
Portugal,2017,13155.0,21707.0,220862990767.229
Reino Unido,2017,9034528.0,20326592.0,2680148052335.3
Rússia,2017,199140.0,477800.0,1574199360089.0
Suécia,2017,249805.0,501518.0,536083940228.684
Uruguai,2017,104368.0,253089.0,65006039994.56
Alemanha,2018,2870420.0,5833592.0,4052008447223.53
Angola,2018,15.0,33.0,79450688259.3664
Antigua e Barbuda,2018,65.0,164.0,
Arábia Saudita,2018,14725.0,28615.0,846583733333.333
Argélia,2018,20672.0,30968.0,194554483655.528
Argentina,2018,1536650.0,2478547.0,524819892360.176
Bahamas,2018,25630.0,52046.0,12615800000.0
Barbados,2018,15.0,59.0,5629916200.0
Barein,2018,27.0,105.0,
Bélgica,2018,150493.0,281779.0,542638913427.921
Bermudas,2018,23.0,69.0,7225977000.0
Bolívia,2018,10.0,97.0,40287647930.4761
Canadá,2018,36798.0,171155.0,1725329192783.02
Catar,2018,1100.0,4932.0,138646316321.596
Catar,2018,1100.0,4932.0,183334953818.681
Ilhas Cayman,2018,61.0,140.0,5530178440.71376
Chile,2018,25.0,81.0,295857562991.709
China,2018,418.0,1132.0,13894907857880.6
Chipre,2018,414.0,1005.0,25754001367.5448
Singapura,2018,1705.0,5375.0,376892697588.005
Coreia do Sul,2018,54.0,154.0,1725373496825.43
Dinamarca,2018,102775.0,192891.0,355293374912.393
Egito,2018,10.0,40.0,
Emirados Árabes Unidos,2018,365615.0,899131.0,427049432149.345
Eslovênia,2018,10.0,30.0,53689067639.9176
Espanha,2018,494802.0,997622.0,1431642809327.06
Estados Unidos,2018,2682088.0,8288437.0,20656516000000.0
Ilhas Malvinas,2018,31.0,93.0,
Filipinas,2018,114.0,311.0,346841896583.515
França,2018,816.0,6549.0,2781576320884.39
Gibraltar,2018,69.0,175.0,
Grécia,2018,1456.0,3566.0,213298873494.394
Guiana Francesa,2018,64.0,362.0,
Hong Kong,2018,1105.0,3283.0,361731070995.726
Ilha de Man,2018,48.0,116.0,7491649455.92717
Índia,2018,341.0,684.0,2702929641648.74
Irlanda,2018,143330.0,243068.0,395461216460.418
Islândia,2018,13000.0,20725.0,26260850582.0687
Itália,2018,28.0,94.0,2099435266458.67
Japão,2018,239.0,840.0,5040880939324.86
Libéria,2018,1297.0,4183.0,3422754800.0
Malásia,2018,30.0,101.0,358788845712.53
Malta,2018,689.0,1720.0,16153779511.1559
Ilhas Marshall,2018,1430.0,4184.0,220000000.0
Noruega,2018,168732.0,381452.0,439788625883.8
Países Baixos,2018,22330171.0,46725512.0,929733599796.862
Panamá,2018,1675.0,5358.0,67316471200.0
Portugal,2018,205.0,676.0,242092894542.888
Reino Unido,2018,8558646.0,20872314.0,2871340347581.79
Romênia,2018,40.0,172.0,243468683030.34
Rússia,2018,80.0,454.0,1657328773461.31
Suécia,2018,101350.0,211213.0,551312498430.164
Suíça,2018,1022.0,8624.0,725568717468.001
Tailândia,2018,113.0,495.0,506754208404.485
Taiwan,2018,39.0,115.0,
Turquia,2018,126.0,440.0,778972108040.602
Tuvalu,2018,1.0,3.0,48015259.8751356
Uruguai,2018,187316.0,301600.0,65344576348.2279
Vietnã,2018,10.0,51.0,310106478394.659
Provisão de Navios e Aeronaves,2018,30.0,55.0,
África do Sul,2019,8.0,30.0,389330032224.269
Alemanha,2019,1863097.0,3480290.0,3957208055215.68
Angola,2019,75.0,145.0,70897962732.0277
Antigua e Barbuda,2019,190.0,580.0,
Arábia Saudita,2019,167731.0,271231.0,838564800000.0
Argentina,2019,1186878.0,1758528.0,447754683615.225
Bahamas,2019,2869.0,9184.0,13016200000.0
Barbados,2019,110.0,354.0,5788288000.0
Barein,2019,958.0,3353.0,
Bélgica,2019,176918.0,336252.0,536726344405.489
Belize,2019,20.0,48.0,2388300000.0
Bermudas,2019,228.0,1047.0,7423465000.0
