País,Volume Litro,Valor,Valor Litro
Afeganistão,11,46.0,4.181818181818182
Alemanha,351055,1415637.0,4.03252196949196
Angola,38082,153118.0,4.020744708786303
Antilhas Holandesas,44437,72279.0,1.626549947116142
Antigua e Barbuda,2487,9586.0,3.854443104141536
Argentina,42142,197834.0,4.6944615822694695
Aruba,450,755.0,1.6777777777777778
Arábia Saudita,124,142.0,1.1451612903225807
Austrália,42599,259629.0,6.094720533345853
Bahamas,6371,30374.0,4.767540417516873
Bangladesh,12,133.0,11.083333333333334
Barbados,673,2855.0,4.242199108469539
Barein,2054,7539.0,3.6703992210321323
Belize,9,29.0,3.2222222222222223
Benim,5049,20342.0,4.0289166171519115
Bermudas,16,153.0,9.5625
Bolívia,157208,265048.0,1.6859701796346243
Brasil,2535,998.0,0.3936883629191322
Bulgária,122,1610.0,13.19672131147541
Bélgica,202811,985708.0,4.860229474732633
Bósnia-Herzegovina,45,52.0,1.1555555555555554
Cabo Verde,34,172.0,5.0588235294117645
Camarões,1749,7476.0,4.274442538593482
Canadá,127207,711564.0,5.593748771687093
Catar,13344,81626.0,6.117056354916067
Ilhas Cayman,863,4594.0,5.323290845886443
Chile,13189,50900.0,3.8592766699522327
China,878414,3441893.0,3.9183038977065485
Chipre,7329,21091.0,2.87774594078319
Singapura,20259,65670.0,3.2415222863912336
Ilhas Cocos (Keeling),26,60.0,2.3076923076923075
Colômbia,44336,89276.0,2.013623240707326
Comores,9,25.0,2.7777777777777777
Congo,17100,26600.0,1.5555555555555556
Coreia do Sul,470,1284.0,2.7319148936170214
Croácia,55,607.0,11.036363636363637
Cuba,268164,299713.0,1.1176481556062707
Curaçau,216254,361490.0,1.6715991380506257
Dinamarca,32793,177131.0,5.40148812246516
Dominica,1945,2857.0,1.4688946015424165
Emirados Árabes Unidos,11064,122175.0,11.042570498915401
Equador,6707,8429.0,1.2567466825704487
Espanha,1982851,3777221.0,1.9049444461535436
Estados Unidos,2294640,6836115.0,2.9791666666666665
Estônia,900,4800.0,5.333333333333333
Filipinas,14316,31731.0,2.216471081307628
Finlândia,57264,419090.0,7.318559653534507
França,109522,502886.0,4.59164368802615
Gana,91247,143512.0,1.5727859546067269
Gibraltar,792,2953.0,3.7285353535353534
Granada,5610,7914.0,1.4106951871657754
Grécia,10774,29470.0,2.7352886578800817
Guatemala,22280,46927.0,2.1062387791741473
Guiana,39501,104951.0,2.6569200779727096
Guiana Francesa,112,50.0,0.44642857142857145
Guiné-Bissau,48,90.0,1.875
Guiné Equatorial,17782,74690.0,4.200314925205264
Haiti,2344028,3189236.0,1.3605793104860522
Hong Kong,108966,468643.0,4.30081860396821
Hungria,87,583.0,6.7011494252873565
Ilha de Man,1729,5915.0,3.4210526315789473
Índia,378,1560.0,4.126984126984127
Indonésia,14,36.0,2.5714285714285716
Irlanda,7775,26609.0,3.422379421221865
Irã,184,412.0,2.239130434782609
Itália,12453,72964.0,5.859150405524773
Japão,512073,1637476.0,3.1977393848142746
Jordânia,12,52.0,4.333333333333333
Letônia,395,3731.0,9.445569620253165
Libéria,66737,141130.0,2.1147189714850834
Luxemburgo,26336,177829.0,6.752316221142163
Macau,7,6.0,0.8571428571428571
Malawi,3660,6252.0,1.7081967213114755
Malta,20783,74948.0,3.6062166193523555
Malásia,63,143.0,2.2698412698412698
Ilhas Marshall,37770,119291.0,3.1583531903627216
Martinica,9,31.0,3.4444444444444446
Mauritânia,9,85.0,9.444444444444445
Montenegro,32,131.0,4.09375
Moçambique,383,1927.0,5.031331592689295
México,4979,36656.0,7.362120907812814
Nigéria,158337,253483.0,1.6009081894945592
Noruega,19844,156492.0,7.886111671034065
Nova Caledônia,7227,11924.0,1.6499238964992389
Nova Zelândia,9417,65577.0,6.963682701497292
Omã,194,670.0,3.4536082474226806
Palau,45,143.0,3.1777777777777776
Panamá,75717,226515.0,2.9916003011212804
Paraguai,29210339,41316362.0,1.4144430846899791
Países Baixos,378671,1638764.0,4.327672306566915
Peru,71945,138071.0,1.9191187712836195
Pitcairn,11,22.0,2.0
Polônia,73642,282480.0,3.8358545395290733
Portugal,191394,342842.0,1.7912891731193246
Quênia,8217,33309.0,4.053669222343921
Reino Unido,791498,3655959.0,4.619037571794244
Rússia,6381051,15315468.0,2.4001481887544855
Serra Leoa,47084,80452.0,1.7086908503950387
Singapura,12767,49561.0,3.881961306493303
Eswatini,10,24.0,2.4
Suriname,19470,30790.0,1.5814072932717
Suécia,38871,179251.0,4.611432687607728
Suíça,67318,568551.0,8.445750022282303
São Cristóvão e Névis,16,31.0,1.9375
São Tomé e Príncipe,2184,2357.0,1.0792124542124542
São Vicente e Granadinas,67,238.0,3.5522388059701493
Tailândia,2625,8259.0,3.1462857142857144
Taiwan,65784,267769.0,4.070427459564636
República Tcheca,24633,180787.0,7.339219745869363
Togo,33757,52855.0,1.565749326065705
Toquelau,3,10.0,3.3333333333333335
Trinidad e Tobago,360,1600.0,4.444444444444445
Turquia,29340,97161.0,3.311554192229039
Tuvalu,2,4.0,2.0
Uruguai,1115401,1662937.0,1.490887133864861
Vanuatu,18,31.0,1.7222222222222223
Venezuela,195516,301848.0,1.5438531884858528
Vietnã,308,1021.0,3.314935064935065
África do Sul,147,814.0,5.537414965986395
Áustria,681,5432.0,7.976505139500734
