País,Ano,Volume Litro,Valor,PIB
Alemanha,2013,61699,265978.0,3808086291482.36
Angola,2013,1573,9300.0,132339109040.232
Antilhas Holandesas,2013,11281,19565.0,
Austrália,2013,16707,101715.0,1577123329410.88
Bahamas,2013,581,5145.0,10395800000.0
Bélgica,2013,22461,95893.0,524097026598.55
Bolívia,2013,19147,25998.0,30659338885.6729
Canadá,2013,25329,174643.0,1846597421834.98
China,2013,40929,279956.0,9570471111831.68
Singapura,2013,766,5779.0,307576360584.992
Colômbia,2013,8,30.0,382093697077.685
Dinamarca,2013,17892,101915.0,344631016965.12
Espanha,2013,1972980,3748940.0,1362186923157.65
Estados Unidos,2013,245368,786556.0,16880683000000.0
Finlândia,2013,36682,283114.0,270268036626.275
França,2013,6885,42256.0,2816077607875.26
Guiné Equatorial,2013,1108,5336.0,21948834283.7856
Hong Kong,2013,16013,61224.0,275696879834.966
Itália,2013,1710,11967.0,2153225581941.46
Japão,2013,91988,429088.0,5212328181166.18
Luxemburgo,2013,5135,29474.0,65203276466.9763
Nigéria,2013,1350,2245.0,520117180313.906
Noruega,2013,2375,19008.0,526014468085.106
Nova Zelândia,2013,1004,4092.0,190909855416.34
Países Baixos,2013,57792,255690.0,883951539006.669
Paraguai,2013,481564,680828.0,38501122141.4241
Polônia,2013,19249,90960.0,518179836405.36
Portugal,2013,23810,17627.0,226677408291.745
Quênia,2013,6,4.0,61671440407.8387
Reino Unido,2013,59161,305005.0,2784853502534.29
Rússia,2013,5893291,14795694.0,2292470078346.22
Suécia,2013,3195,20183.0,584128116410.29
Suíça,2013,2997,29785.0,706234937370.968
Suriname,2013,1800,2960.0,5145757575.75758
República Tcheca,2013,3697,23549.0,213024360541.119
Uruguai,2013,1526,13343.0,61337621933.7857
Alemanha,2014,213348,761653.0,3965800686309.79
Angola,2014,12182,23124.0,135966802586.713
Antilhas Holandesas,2014,4455,7169.0,
Argentina,2014,20385,95130.0,526319673731.638
Aruba,2014,450,755.0,2790849720.67039
Austrália,2014,6308,43709.0,1468265356427.76
Bélgica,2014,151320,704093.0,537987419164.351
Bolívia,2014,12534,18303.0,32996188012.5599
Canadá,2014,35082,226875.0,1805749878439.94
China,2014,64040,455340.0,10475624944355.2
Singapura,2014,541,3887.0,314863580758.455
Cuba,2014,38875,43200.0,80656100000.0
Dinamarca,2014,3240,16871.0,352832602064.452
Emirados Árabes Unidos,2014,640,3381.0,414105366758.911
Estados Unidos,2014,222267,494216.0,17608138000000.0
Finlândia,2014,12960,94962.0,273478528954.901
França,2014,33755,167807.0,2861236112552.42
Guiné Equatorial,2014,5646,11983.0,21765453081.9826
Hong Kong,2014,18130,63534.0,291459995978.893
Itália,2014,604,2492.0,2173255507985.84
Japão,2014,106426,401774.0,4896994405353.29
Luxemburgo,2014,8281,52400.0,68804811897.6445
México,2014,1521,24336.0,1364507717614.13
Noruega,2014,7179,50464.0,501736471832.848
Nova Zelândia,2014,2800,13675.0,201337554959.49
Países Baixos,2014,165289,773767.0,901556501756.467
Paraguai,2014,521847,908028.0,40377929295.6419
Polônia,2014,30181,107957.0,542134167178.627
Portugal,2014,71544,79141.0,230078616299.675
Reino Unido,2014,305807,1373747.0,3064708247921.43
Rússia,2014,190656,61440.0,2059241589895.01
Suécia,2014,10404,51057.0,577730245154.162
Suíça,2014,27933,231762.0,726537808338.0
Suriname,2014,6,19.0,5240606060.60606
Taiwan,2014,12519,67907.0,
República Tcheca,2014,4500,35005.0,210911285077.683
Trinidad e Tobago,2014,360,1600.0,29697674913.5408
Venezuela,2014,14,232.0,
Alemanha,2015,10680,44780.0,3423568450957.03
Angola,2015,1908,17089.0,90496420506.5957
Antilhas Holandesas,2015,6660,10545.0,
Austrália,2015,7437,48011.0,1351296372254.31
Bélgica,2015,4473,26399.0,461044767544.531
Bolívia,2015,10674,12990.0,33000198248.1292
Canadá,2015,24547,118394.0,1556508816217.14
China,2015,47609,222866.0,11061572618578.7
Singapura,2015,1116,2774.0,307998545269.398
Cuba,2015,97965,108864.0,87132800000.0
Dinamarca,2015,7080,29306.0,301758922337.637
Emirados Árabes Unidos,2015,765,3740.0,370275469560.166
Estados Unidos,2015,195896,524109.0,18295019000000.0
França,2015,1596,4749.0,2442483452642.5
Hong Kong,2015,1229,7837.0,309385622601.348
Japão,2015,31597,87853.0,4444930651964.18
Luxemburgo,2015,2295,17358.0,60071584216.1375
Noruega,2015,1058,6021.0,388159512245.53
Nova Zelândia,2015,809,3476.0,178104220784.881
Países Baixos,2015,44987,186464.0,775743675302.734
Paraguai,2015,495428,741370.0,36211447840.0971
Polônia,2015,11654,42781.0,480054118583.367
Portugal,2015,47736,42586.0,199038523119.639
Reino Unido,2015,68382,308407.0,2927911140916.73
Rússia,2015,47664,18240.0,1363482182197.71
Suécia,2015,1412,6404.0,501698263620.663
Suíça,2015,15872,85790.0,694118186379.628
Suriname,2015,453,713.0,5126237646.22072
Taiwan,2015,7200,23940.0,
República Tcheca,2015,2297,15304.0,189107698561.919
Alemanha,2016,14012,68109.0,3537784107980.55
Angola,2016,7359,35390.0,52761617225.9253
Antilhas Holandesas,2016,16641,26450.0,
Austrália,2016,1954,13799.0,1206836962281.84
Áustria,2016,675,5220.0,393687359770.273
Bélgica,2016,7200,46534.0,474271566739.729
Benim,2016,5040,20333.0,11821065852.1271
Bolívia,2016,13586,16902.0,33941126200.0606
Canadá,2016,13711,71096.0,1527994741907.43
China,2016,134106,499622.0,11233313730348.7
Singapura,2016,5445,13199.0,319053943915.005
Coreia do Sul,2016,8,20.0,1499679823909.61
Cuba,2016,63741,69830.0,91370407863.7
Dinamarca,2016,1278,8171.0,312181849372.233
Emirados Árabes Unidos,2016,585,2760.0,369255326235.771
Estados Unidos,2016,258072,687411.0,18804913000000.0
Estônia,2016,900,4800.0,24561027787.7896
Finlândia,2016,7617,41003.0,238777818792.608
França,2016,6037,30055.0,2470407619777.13
Hong Kong,2016,6975,86199.0,320860317562.562
Itália,2016,585,3465.0,1887111188176.93
Japão,2016,34341,90954.0,5003677627544.24
Luxemburgo,2016,2759,21426.0,62216885435.9488
Nova Zelândia,2016,504,9472.0,188898209220.167
Países Baixos,2016,42953,190203.0,797163949289.885
Paraguai,2016,985739,1655417.0,36089700222.9461
Polônia,2016,11457,35402.0,473259583969.643
Reino Unido,2016,117044,536681.0,2689106566899.61
Suécia,2016,291,1214.0,514218206628.325
Suíça,2016,4230,33340.0,687895460902.713
Suriname,2016,900,1375.0,3317421648.09918
Taiwan,2016,16967,80379.0,
República Tcheca,2016,3837,28473.0,198160659303.939
Alemanha,2017,15467,87702.0,3763092263752.95
Angola,2017,10170,61680.0,73690154990.7312
Antilhas Holandesas,2017,5400,8550.0,
Austrália,2017,1350,7500.0,1325582658156.54
Bélgica,2017,2790,16405.0,500908767351.53
Bolívia,2017,9495,23085.0,37508642165.3366
Bulgária,2017,117,1579.0,59309748166.1179
Camarões,2017,1749,7476.0,36098547033.1655
Canadá,2017,6075,30658.0,1649265644244.09
Catar,2017,13338,81606.0,120687539675.517
Catar,2017,13338,81606.0,161099122225.275
China,2017,67594,266086.0,12310491333980.9
Cuba,2017,62791,72229.0,96850649691.7406
Curaçau,2017,12340,23011.0,
Dinamarca,2017,581,2829.0,331610593961.988
Emirados Árabes Unidos,2017,675,3302.0,390516804016.501
Estados Unidos,2017,132688,1523699.0,19612102000000.0
França,2017,4253,21654.0,2588868323334.71
Guiné-Bissau,2017,48,90.0,1469978606.12143
Guiné Equatorial,2017,2639,30563.0,12200913878.9827
Hong Kong,2017,1934,8180.0,341273289534.466
Itália,2017,468,2248.0,1970720904584.71
Japão,2017,33909,92886.0,4930837369151.42
Letônia,2017,387,3723.0,29391059767.4259
Luxemburgo,2017,2719,21947.0,65712180342.9836
México,2017,664,2292.0,1190721475906.0
Nova Zelândia,2017,1678,8140.0,206566916732.292
Paraguai,2017,2393468,4274650.0,38997129473.5558
Reino Unido,2017,60711,242883.0,2680148052335.3
Suécia,2017,15445,64953.0,536083940228.684
Suíça,2017,6525,74816.0,695200833086.499
Suriname,2017,3690,5638.0,3591679430.99988
Taiwan,2017,14988,43954.0,
República Tcheca,2017,2746,16947.0,221563575696.217
Venezuela,2017,680,2646.0,
Alemanha,2018,10794,45382.0,4052008447223.53
Angola,2018,477,709.0,79450688259.3664
Antigua e Barbuda,2018,37,191.0,
Argentina,2018,15711,59150.0,524819892360.176
Austrália,2018,2055,6902.0,1427809041019.44
Bahamas,2018,141,634.0,12615800000.0
Bélgica,2018,7497,52799.0,542638913427.921
Bolívia,2018,21566,57424.0,40287647930.4761
Cabo Verde,2018,18,48.0,2205099509.15987
Canadá,2018,5308,20414.0,1725329192783.02
Ilhas Cayman,2018,19,203.0,5530178440.71376
Chile,2018,11049,42832.0,295857562991.709
China,2018,30835,126336.0,13894907857880.6
Chipre,2018,279,480.0,25754001367.5448
Singapura,2018,3298,11616.0,376892697588.005
Colômbia,2018,6944,26273.0,334198218098.276
Coreia do Sul,2018,120,109.0,1725373496825.43
Cuba,2018,4776,5584.0,100050036096.123
Curaçau,2018,23930,43676.0,
Emirados Árabes Unidos,2018,360,1762.0,427049432149.345
Espanha,2018,6123,22631.0,1431642809327.06
Estados Unidos,2018,169109,512519.0,20656516000000.0
Filipinas,2018,9608,16205.0,346841896583.515
França,2018,11077,48677.0,2781576320884.39
Gana,2018,9000,13502.0,67298914624.3723
Grécia,2018,232,730.0,213298873494.394
Guiné Equatorial,2018,8389,26808.0,13097012133.6159
Haiti,2018,79500,144425.0,16403864617.8458
Hong Kong,2018,1742,9029.0,361731070995.726
Irlanda,2018,7560,25767.0,395461216460.418
Itália,2018,3661,13260.0,2099435266458.67
Japão,2018,36992,112342.0,5040880939324.86
Libéria,2018,658,3100.0,3422754800.0
Luxemburgo,2018,1778,11053.0,71000359760.4611
Malásia,2018,15,33.0,358788845712.53
