pais,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afeganistão,"0,480","0,479","0,483","0,485","0,486","0,492","0,488","0,473","0,462"
África do Sul,"0,714","0,721","0,711","0,725","0,731","0,741","0,722","0,721","0,717"
África Subsaariana,"0,527","0,533","0,536","0,540","0,544","0,549","0,547","0,546","0,549"
Albânia,"0,797","0,797","0,795","0,796","0,797","0,800","0,784","0,785","0,789"
Alemanha,"0,942","0,941","0,941","0,944","0,946","0,951","0,948","0,948","0,950"
América Latina e Caribe,"0,757","0,758","0,761","0,764","0,766","0,768","0,755","0,754","0,763"
Andorra,"0,854","0,856","0,859","0,860","0,863","0,865","0,843","0,855","0,884"
Angola,"0,565","0,591","0,595","0,597","0,598","0,597","0,594","0,590","0,591"
Antígua e Barbuda,"0,815","0,818","0,822","0,824","0,828","0,831","0,820","0,819","0,826"
Arábia Saudita,"0,836","0,842","0,846","0,849","0,856","0,862","0,861","0,867","0,875"
Argélia,"0,732","0,736","0,738","0,738","0,740","0,742","0,730","0,740","0,745"
Argentina,"0,847","0,850","0,848","0,853","0,852","0,853","0,841","0,844","0,849"
Armênia,"0,764","0,769","0,773","0,775","0,781","0,789","0,769","0,774","0,786"
Austrália,"0,931","0,933","0,936","0,937","0,941","0,941","0,948","0,949","0,946"
Áustria,"0,911","0,910","0,913","0,914","0,917","0,920","0,916","0,920","0,926"
Azerbaijão,"0,749","0,751","0,752","0,754","0,757","0,762","0,722","0,738","0,760"
Bahamas,"0,807","0,807","0,809","0,812","0,814","0,802","0,798","0,799","0,820"
Bahrein,"0,839","0,859","0,862","0,867","0,880","0,888","0,884","0,884","0,888"
Bangladesh,"0,585","0,604","0,613","0,622","0,636","0,646","0,657","0,662","0,670"
Barbados,"0,795","0,798","0,801","0,803","0,804","0,806","0,803","0,803","0,809"
Bélgica,"0,922","0,924","0,927","0,931","0,933","0,936","0,930","0,938","0,942"
Belize,"0,716","0,714","0,720","0,716","0,715","0,718","0,705","0,698","0,700"
Benim,"0,506","0,509","0,508","0,505","0,506","0,506","0,501","0,502","0,504"
Bielorrússia,"0,810","0,809","0,809","0,811","0,812","0,810","0,800","0,801","0,801"
Bolívia (Estado Plurinacional da),"0,683","0,688","0,700","0,707","0,712","0,715","0,691","0,691","0,698"
Bósnia e Herzegovina,"0,751","0,757","0,767","0,770","0,774","0,780","0,776","0,776","0,779"
Botsuana,"0,683","0,688","0,697","0,705","0,700","0,703","0,701","0,680","0,708"
Brasil,"0,753","0,752","0,753","0,758","0,762","0,764","0,758","0,756","0,760"
Brunei Darussalã,"0,834","0,832","0,830","0,829","0,826","0,827","0,827","0,824","0,823"
Bulgária,"0,807","0,809","0,810","0,810","0,811","0,813","0,802","0,796","0,799"
Burkina Faso,"0,403","0,413","0,422","0,432","0,443","0,446","0,446","0,445","0,438"
Burundi,"0,419","0,420","0,423","0,422","0,421","0,423","0,419","0,419","0,420"
Butão,"0,615","0,625","0,635","0,644","0,655","0,668","0,675","0,677","0,681"
Cabo Verde,"0,663","0,658","0,664","0,668","0,664","0,667","0,649","0,650","0,661"
Camarões,"0,553","0,562","0,566","0,574","0,581","0,586","0,585","0,581","0,587"
Camboja,"0,559","0,564","0,573","0,581","0,588","0,596","0,596","0,596","0,600"
