País,Ano,Volume Litro,Valor,PIB
África do Sul,2014,18659,114275.0,381198869776.106
Alemanha,2014,5093,34413.0,3965800686309.79
Argentina,2014,807366,3221463.0,526319673731.638
Áustria,2014,698,6352.0,438556021078.034
Brasil,2014,8606,37228.0,2456043727198.85
Bulgária,2014,222,546.0,57157782909.9307
Chile,2014,133935,599993.0,259560978231.552
Emirados Árabes Unidos,2014,8,271.0,414105366758.911
Eslovênia,2014,445,2329.0,49514466379.6057
Espanha,2014,925502,4519845.0,1380244561361.96
Estados Unidos,2014,27023,101802.0,17608138000000.0
França,2014,1230946,20831149.0,2861236112552.42
Grécia,2014,329,1459.0,233911581521.062
Hungria,2014,518,1715.0,141033843265.669
Itália,2014,1095148,4462987.0,2173255507985.84
Nova Zelândia,2014,450,3023.0,201337554959.49
Peru,2014,305,977.0,200786250582.943
Portugal,2014,60430,316889.0,230078616299.675
Romênia,2014,743,1011.0,199722319675.741
Uruguai,2014,1068,3310.0,61496186973.902
África do Sul,2015,19686,96316.0,346709790458.563
Alemanha,2015,3647,5589.0,3423568450957.03
Argentina,2015,490536,1814349.0,594749285413.212
Austrália,2015,4967,15439.0,1351296372254.31
Bahamas,2015,73,684.0,11671900000.0
Brasil,2015,6383,47936.0,1802212206904.68
Bulgária,2015,4,7.0,50811995688.6771
Chile,2015,236342,838250.0,242450355827.827
Croácia,2015,225,483.0,51005200669.6941
Cuba,2015,29,243.0,87132800000.0
Emirados Árabes Unidos,2015,104,2005.0,370275469560.166
Eslovênia,2015,1058,5075.0,42709468274.8137
Espanha,2015,899587,4183324.0,1206164777553.12
Estados Unidos,2015,18519,85864.0,18295019000000.0
França,2015,1341884,21849752.0,2442483452642.5
Grécia,2015,577,1574.0,194567373678.099
Irlanda,2015,391,4062.0,302391428540.035
Itália,2015,1017420,3670403.0,1845428048839.1
México,2015,1154,9334.0,1213294467716.88
Nova Zelândia,2015,135,1684.0,178104220784.881
Portugal,2015,59472,223379.0,199038523119.639
Reino Unido,2015,467,4211.0,2927911140916.73
Romênia,2015,488,528.0,177885131240.315
Uruguai,2015,1760,2832.0,57680327998.6689
África do Sul,2016,7394,50715.0,323585509674.481
Alemanha,2016,3420,8275.0,3537784107980.55
Argentina,2016,358510,1240249.0,557532320662.955
Austrália,2016,19182,32115.0,1206836962281.84
Bahamas,2016,60,688.0,11745100000.0
Brasil,2016,1014,4936.0,1795693482652.52
Chile,2016,117678,523242.0,249344863933.461
Emirados Árabes Unidos,2016,2371,38954.0,369255326235.771
Eslovênia,2016,2115,9486.0,44290685824.0682
Espanha,2016,864154,3249876.0,1243015667917.12
Estados Unidos,2016,12343,30366.0,18804913000000.0
França,2016,1171383,12017375.0,2470407619777.13
Hungria,2016,1238,5927.0,128609822750.039
Itália,2016,1089617,3467993.0,1887111188176.93
Portugal,2016,88448,321629.0,206305431241.638
Suíça,2016,11,711.0,687895460902.713
Ucrânia,2016,1739,2423.0,93355869403.9223
Uruguai,2016,7880,42863.0,57480788390.2581
África do Sul,2017,4913,23919.0,381448814653.456
Alemanha,2017,4819,37116.0,3763092263752.95
Argentina,2017,661857,2249681.0,643628393281.364
Austrália,2017,19198,51731.0,1325582658156.54
Bahamas,2017,519,11136.0,12236700000.0
Bélgica,2017,923,50574.0,500908767351.53
Brasil,2017,6166,180512.0,2063514977334.32
Bulgária,2017,3,716.0,59309748166.1179
Chile,2017,304391,1350744.0,276154259987.103
Eslovênia,2017,2093,10110.0,48153200134.6613
Espanha,2017,1493908,5592839.0,1321754088818.83
Estados Unidos,2017,8408,226792.0,19612102000000.0
França,2017,1778528,14966946.0,2588868323334.71
Grécia,2017,156,277.0,200381103984.298
Hungria,2017,1624,6960.0,143112196040.326
Itália,2017,3065767,5635842.0,1970720904584.71
Portugal,2017,123786,492083.0,220862990767.229
Reino Unido,2017,350,2424.0,2680148052335.3
Uruguai,2017,1080,7920.0,65006039994.56
África do Sul,2018,15368,74800.0,405260723892.517
Alemanha,2018,18376,82273.0,4052008447223.53
Argentina,2018,706478,2462909.0,524819892360.176
Austrália,2018,57917,212199.0,1427809041019.44
Áustria,2018,1228,11638.0,452582294972.775
Bahamas,2018,169,2283.0,12615800000.0
Brasil,2018,566215,162992.0,1916933898038.36
Canadá,2018,3852,109402.0,1725329192783.02
Chile,2018,316293,1312445.0,295857562991.709
Eslovênia,2018,1800,8860.0,53689067639.9176
Espanha,2018,1515106,5707839.0,1431642809327.06
Estados Unidos,2018,26405,64081.0,20656516000000.0
França,2018,3637804,12678962.0,2781576320884.39
Hungria,2018,1802,5977.0,160565642983.587
Indonésia,2018,35,271.0,1042271532953.49
Itália,2018,2147490,5947967.0,2099435266458.67
Luxemburgo,2018,208,1902.0,71000359760.4611
México,2018,95,777.0,1256300182879.73
Países Baixos,2018,305,10695.0,929733599796.862
Panamá,2018,15057,30546.0,67316471200.0
Portugal,2018,128802,526987.0,242092894542.888
Reino Unido,2018,3834,104831.0,2871340347581.79
Suíça,2018,576,4031.0,725568717468.001
Uruguai,2018,776,5786.0,65344576348.2279
África do Sul,2019,17583,72077.0,389330032224.269
Alemanha,2019,26853,169989.0,3957208055215.68
Argentina,2019,757716,2282614.0,447754683615.225
