País,Volume Litro,Valor,Valor Litro,Temperatura
Argentina,21512722,32555863.0,1.5133307165871432,16.3
Argélia,21746,34476.0,1.5853950151752045,23.6
Chile,133841315,214732705.0,1.6043828095980677,9.39
Egito,27760,53709.0,1.9347622478386166,23.14
Espanha,1356152,2280328.0,1.6814693338209876,13.7
Estados Unidos,89444,321629.0,3.5958700415902687,9.46
Itália,4586294,8206058.0,1.7892568596779883,13.2
México,732977,1608051.0,2.1938628360780763,21.31
Peru,16966159,32330984.0,1.9056159971151985,20.7
Peru,16966159,32330984.0,1.9056159971151985,11.66
