País,Ano,Volume Litro,Valor,PIB
Argentina,2014,2758211,4852008.0,526319673731.638
Chile,2014,25952434,47301298.0,259560978231.552
Espanha,2014,401281,716423.0,1380244561361.96
Estados Unidos,2014,50811,166753.0,17608138000000.0
Itália,2014,1228338,2274045.0,2173255507985.84
México,2014,184747,398096.0,1364507717614.13
Peru,2014,3184984,6629415.0,200786250582.943
Argentina,2015,3569873,5636226.0,594749285413.212
Chile,2015,24254096,36956724.0,242450355827.827
Espanha,2015,145066,257656.0,1206164777553.12
Estados Unidos,2015,16504,65265.0,18295019000000.0
Itália,2015,1053083,1856161.0,1845428048839.1
México,2015,133608,307654.0,1213294467716.88
Peru,2015,2645931,4885560.0,189802976285.619
Argentina,2016,3931377,5771032.0,557532320662.955
Chile,2016,18424582,30767570.0,249344863933.461
Espanha,2016,431567,628571.0,1243015667917.12
Estados Unidos,2016,3522,21093.0,18804913000000.0
Itália,2016,589675,1002856.0,1887111188176.93
Peru,2016,4399499,7646918.0,191898104390.379
Argentina,2017,2097970,3302565.0,643628393281.364
Chile,2017,18510455,29248621.0,276154259987.103
Espanha,2017,243947,403978.0,1321754088818.83
Estados Unidos,2017,2164,17056.0,19612102000000.0
Itália,2017,788663,1442078.0,1970720904584.71
Peru,2017,2553897,4729591.0,211007984080.911
Argentina,2018,1616855,2499358.0,524819892360.176
Chile,2018,16103415,25237521.0,295857562991.709
Espanha,2018,83212,164529.0,1431642809327.06
Estados Unidos,2018,15100,40981.0,20656516000000.0
Itália,2018,334544,610245.0,2099435266458.67
Peru,2018,947045,1936467.0,222597009739.235
Argentina,2019,3211513,4659791.0,447754683615.225
Chile,2019,9082957,13450429.0,278285058719.466
Espanha,2019,51079,109171.0,1403496387686.27
Estados Unidos,2019,1343,10481.0,21539982000000.0
Itália,2019,591991,1020673.0,2019606796583.53
Peru,2019,1585923,2862870.0,228346006003.648
Argélia,2020,21746,34476.0,164873415325.201
Argentina,2020,1798220,2559671.0,385740508436.965
Chile,2020,4943446,6986630.0,254042159309.311
Peru,2020,487080,852856.0,201409694755.934
Argentina,2021,1356735,1696659.0,486564085480.036
Chile,2021,3888723,5404163.0,315515014838.539
Peru,2021,75768,151819.0,226354278280.885
Argentina,2022,771187,1053519.0,632790070063.124
Chile,2022,6536258,9640996.0,302116539409.03
Egito,2022,27760,53709.0,
México,2022,414622,902301.0,1464312692331.58
Argentina,2023,400781,525034.0,646075277525.125
Chile,2023,6144949,9738753.0,335533331669.219
Peru,2023,1086032,2635488.0,267603248655.253
