País,Volume Litro,Valor,Valor Litro,Temperatura
Afeganistão,621000,1034787.0,1.6663236714975846,13.4
Argentina,215906066,369914862.0,1.7133138908658545,16.3
Chile,13231409,23928833.0,1.8084871384445904,9.39
China,244110,289938.0,1.187735037483102,7.59
China Continental,1309215,1839563.0,1.405088545426076,
Costa Rica,49000,95550.0,1.95,24.83
Emirados,140000,280691.0,2.0049357142857143,
Espanha,1,24.0,24.0,13.7
Estados Unidos,1684318,5075381.0,3.013315181574976,9.46
França,2258,8073.0,3.575287865367582,11.65
Grécia,17550,43685.0,2.489173789173789,13.17
Irã,5940300,11948048.0,2.0113543087049477,18.34
Peru,25010,40640.0,1.6249500199920033,20.7
Peru,25010,40640.0,1.6249500199920033,11.66
Portugal,250,445.0,1.78,15.85
Reino Unido,153,3162.0,20.666666666666668,9.24
Turquia,13790453,21974360.0,1.5934472928481755,
Uruguai,25000,35866.0,1.43464,17.97
Uzbequistão,2974260,3673885.0,1.2352265773671434,13.6
África do Sul,7739927,16714389.0,2.1595021503432785,18.23
Índia,7602820,8211747.0,1.080092255242134,24.94
