País,Ano,Volume Litro,Valor,PIB
Afeganistão,2014,456000,789790.0,20497128555.6972
África do Sul,2014,2220275,3507617.0,381198869776.106
Argentina,2014,14681136,34049473.0,526319673731.638
Chile,2014,2615382,5771763.0,259560978231.552
China Continental,2014,98050,142328.0,
Emirados,2014,100000,184835.0,
Estados Unidos,2014,369887,1113398.0,17608138000000.0
França,2014,1600,3368.0,2861236112552.42
Grécia,2014,10000,24994.0,233911581521.062
Índia,2014,247000,377422.0,2039126479154.52
Irã,2014,942500,1700379.0,
Reino Unido,2014,10,170.0,3064708247921.43
Turquia,2014,1981070,3507617.0,938934609296.966
Afeganistão,2015,125000,179545.0,19134221644.7325
África do Sul,2015,1418063,3278109.0,346709790458.563
Argentina,2015,20905602,32341307.0,594749285413.212
Chile,2015,747700,1522661.0,242450355827.827
Emirados,2015,40000,95856.0,
Estados Unidos,2015,350138,1034494.0,18295019000000.0
França,2015,658,4705.0,2442483452642.5
Índia,2015,57000,60717.0,2103588360044.94
Irã,2015,184500,418722.0,
Portugal,2015,250,445.0,199038523119.639
Reino Unido,2015,25,426.0,2927911140916.73
Turquia,2015,1006000,1666760.0,864313810469.009
África do Sul,2016,617500,1487082.0,323585509674.481
Argentina,2016,23280908,34643821.0,557532320662.955
Chile,2016,365670,613554.0,249344863933.461
Estados Unidos,2016,236134,636045.0,18804913000000.0
Grécia,2016,4000,9248.0,193097239005.87
Índia,2016,162000,346815.0,2294796885663.16
Irã,2016,493000,1113453.0,
Reino Unido,2016,21,402.0,2689106566899.61
Turquia,2016,2386092,3162573.0,869682881593.041
África do Sul,2017,370500,942442.0,381448814653.456
Argentina,2017,19742996,34422405.0,643628393281.364
Chile,2017,483305,971604.0,276154259987.103
China Continental,2017,53000,65028.0,
Estados Unidos,2017,257670,671036.0,19612102000000.0
Grécia,2017,1950,4287.0,200381103984.298
Índia,2017,397130,476398.0,2651474262755.45
Irã,2017,1194500,1975882.0,
Peru,2017,10,10.0,211007984080.911
Reino Unido,2017,66,1494.0,2680148052335.3
Turquia,2017,2834805,4001169.0,858988492853.742
África do Sul,2018,1089700,3106052.0,405260723892.517
Argentina,2018,23564519,43501396.0,524819892360.176
Chile,2018,127231,290772.0,295857562991.709
China Continental,2018,224165,279253.0,
Estados Unidos,2018,42859,244215.0,20656516000000.0
Grécia,2018,1600,5156.0,213298873494.394
Índia,2018,736700,1007031.0,2702929641648.74
Irã,2018,340000,817941.0,
Reino Unido,2018,20,461.0,2871340347581.79
Turquia,2018,262616,494370.0,778972108040.602
Afeganistão,2019,40000,65452.0,18799444490.1128
África do Sul,2019,270875,763921.0,389330032224.269
Argentina,2019,24135143,48810789.0,447754683615.225
Chile,2019,384437,1096176.0,278285058719.466
China Continental,2019,934000,1352954.0,
Espanha,2019,1,24.0,1403496387686.27
Estados Unidos,2019,90132,345044.0,21539982000000.0
Índia,2019,481000,677056.0,2835606256558.19
Irã,2019,646000,1369316.0,
Reino Unido,2019,11,209.0,2851407164907.81
Turquia,2019,427590,865709.0,761005915750.925
Uzbequistão,2019,399630,624285.0,67293639798.3996
África do Sul,2020,616688,1433381.0,337974655408.055
Argentina,2020,24992502,36743996.0,385740508436.965
Chile,2020,286774,567197.0,254042159309.311
China,2020,172000,178472.0,14687744162801.0
Estados Unidos,2020,105360,266627.0,21354105000000.0
Índia,2020,883000,813317.0,2674851578587.27
Irã,2020,435600,927189.0,
Turquia,2020,607780,1210554.0,720338490327.248
Uruguai,2020,25000,35866.0,53668636567.8667
Uzbequistão,2020,397030,450389.0,66443265418.3086
África do Sul,2021,327000,531327.0,420886877628.703
Argentina,2021,24015825,33337604.0,486564085480.036
Chile,2021,225630,462855.0,315515014838.539
China,2021,110,76.0,17820459508852.2
Estados Unidos,2021,109043,325880.0,23681171000000.0
Índia,2021,577250,504532.0,3167270623260.47
Irã,2021,514700,843794.0,
Turquia,2021,186000,311165.0,819865223976.115
África do Sul,2022,657826,1266633.0,406920004594.074
Argentina,2022,20829418,35659325.0,632790070063.124
Chile,2022,3584100,5524707.0,302116539409.03
Costa Rica,2022,49000,95550.0,69243626028.5936
Estados Unidos,2022,115517,380380.0,26006893000000.0
Índia,2022,2767840,2568914.0,3353470496886.33
Irã,2022,403000,948438.0,
Turquia,2022,1477000,2602207.0,907118434653.505
Uzbequistão,2022,132000,165492.0,90095926567.4359
África do Sul,2023,151500,397825.0,380699271814.508
Argentina,2023,19758017,36404746.0,646075277525.125
Chile,2023,4411180,7107544.0,335533331669.219
China,2023,72000,111390.0,17794783039552.0
Estados Unidos,2023,7578,58262.0,27720709000000.0
Índia,2023,1293900,1379545.0,3567551674623.01
Irã,2023,786500,1832934.0,
Peru,2023,25000,40630.0,267603248655.253
Turquia,2023,2621500,4152236.0,1118252964260.77
Uzbequistão,2023,2045600,2433719.0,101591769702.343
