País,Volume Litro,Valor,Valor Litro
África do Sul,107030,95424.0,0.8915631131458469
Alemanha,13116,123246.0,9.39661482159195
Argentina,134926,174555.0,1.2937091442716748
Austria,1999,2122.0,1.0615307653826913
Chile,118730,212549.0,1.7901878211067128
China,2475,2098.0,0.8476767676767677
Coreia do Norte,32355,47319.0,1.4624942049142327
Coreia do Sul,234704,249737.0,1.064050889631195
Espanha,422,806.0,1.9099526066350712
Estados Unidos,238904,260793.0,1.0916225764323746
França,862,2229.0,2.58584686774942
Israel,14035,19318.0,1.3764161026006412
Peru,48559,46084.0,0.9490310755987561
Portugal,4500,5576.0,1.239111111111111
Taiwan,2040,1294.0,0.634313725490196
Turquia,46296,33523.0,0.7241014342491792
Uruguai,225,600.0,2.6666666666666665
itália,3996,8585.0,2.1483983983983985
