País,Ano,Volume Litro,Valor,PIB
África do Sul,2014,43104,40489.0,381198869776.106
Coreia do Sul,2014,12655,14784.0,1484488526271.8
Coreia do Norte,2014,16704,24698.0,
Taiwan,2014,2040,1294.0,
Turquia,2014,13428,10216.0,938934609296.966
África do Sul,2015,13125,13209.0,346709790458.563
Alemanha,2015,6496,46692.0,3423568450957.03
Coreia do Sul,2015,85145,49712.0,1466038936206.43
Coreia do Norte,2015,15651,22621.0,
Chile,2015,23790,29024.0,242450355827.827
Estados Unidos,2015,23578,28765.0,18295019000000.0
França,2015,862,2229.0,2442483452642.5
Israel,2015,2575,4651.0,302722655203.465
itália,2015,225,771.0,
Turquia,2015,5052,3846.0,864313810469.009
África do Sul,2016,7154,5841.0,323585509674.481
Alemanha,2016,6540,75902.0,3537784107980.55
Argentina,2016,59028,80898.0,557532320662.955
Coreia do Sul,2016,30022,44524.0,1499679823909.61
Chile,2016,94940,183525.0,249344863933.461
Estados Unidos,2016,68730,108205.0,18804913000000.0
Israel,2016,1200,1656.0,320958936788.842
itália,2016,774,1594.0,
Peru,2016,10238,8908.0,191898104390.379
África do Sul,2017,22029,17551.0,381448814653.456
Argentina,2017,72900,90518.0,643628393281.364
Áustria,2017,1333,1467.0,414926138132.691
Coreia do Sul,2017,28927,41276.0,1623074183501.9
China,2017,2475,2098.0,12310491333980.9
Estados Unidos,2017,32691,40554.0,19612102000000.0
Israel,2017,5340,7399.0,357227098125.658
itália,2017,1161,4254.0,
Peru,2017,38321,37176.0,211007984080.911
Portugal,2017,4500,5576.0,220862990767.229
Turquia,2017,27816,19461.0,858988492853.742
África do Sul,2018,21618,18334.0,405260723892.517
Alemanha,2018,80,652.0,4052008447223.53
Argentina,2018,2998,3139.0,524819892360.176
Coreia do Sul,2018,77955,99441.0,1725373496825.43
Espanha,2018,422,806.0,1431642809327.06
Estados Unidos,2018,14541,8226.0,20656516000000.0
Israel,2018,840,1034.0,375149611117.199
Uruguai,2018,225,600.0,65344576348.2279
Áustria,2019,666,655.0,442983642371.842
Estados Unidos,2019,9273,14093.0,21539982000000.0
Israel,2019,3360,3609.0,399651065197.871
Estados Unidos,2020,28180,25418.0,21354105000000.0
Estados Unidos,2021,3870,3551.0,23681171000000.0
Israel,2021,720,969.0,489708278893.053
Estados Unidos,2022,29414,16781.0,26006893000000.0
Estados Unidos,2023,28627,15200.0,27720709000000.0
itália,2023,1836,1966.0,
