País,Ano,Volume Litro,Valor,PIB
África do Sul,2014,722715,3033932.0,381198869776.106
Alemanha,2014,115804,483316.0,3965800686309.79
Argentina,2014,13437321,53815956.0,526319673731.638
Austrália,2014,236742,1008851.0,1468265356427.76
Áustria,2014,2770,32116.0,438556021078.034
Brasil,2014,449,6011.0,2456043727198.85
Bulgária,2014,15019,46857.0,57157782909.9307
Canadá,2014,1530,25958.0,1805749878439.94
Chile,2014,35479279,113375484.0,259560978231.552
Emirados Árabes Unidos,2014,35,1138.0,414105366758.911
Eslovênia,2014,4190,23377.0,49514466379.6057
Espanha,2014,2760797,12797753.0,1380244561361.96
Estados Unidos,2014,788773,4171731.0,17608138000000.0
França,2014,3592782,27480375.0,2861236112552.42
Grécia,2014,24244,107195.0,233911581521.062
Hungria,2014,18733,114610.0,141033843265.669
Israel,2014,7734,40372.0,314090281098.682
Itália,2014,8566756,31697736.0,2173255507985.84
Líbano,2014,47610,270145.0,48095213746.6003
Macedônia,2014,252,497.0,
Nova Zelândia,2014,106251,843533.0,201337554959.49
Peru,2014,3201,7906.0,200786250582.943
Portugal,2014,9735153,37071142.0,230078616299.675
Reino Unido,2014,315,9410.0,3064708247921.43
Romênia,2014,4163,5629.0,199722319675.741
Uruguai,2014,1237537,3782282.0,61496186973.902
África do Sul,2015,743335,2996543.0,346709790458.563
Alemanha,2015,95171,358275.0,3423568450957.03
Argentina,2015,12465041,48043201.0,594749285413.212
Austrália,2015,395030,1261810.0,1351296372254.31
Áustria,2015,360,3891.0,379546097300.633
Brasil,2015,1359,12919.0,1802212206904.68
Bulgária,2015,17244,51678.0,50811995688.6771
Chile,2015,36686870,107684380.0,242450355827.827
Croácia,2015,2069,3779.0,51005200669.6941
Emirados Árabes Unidos,2015,529,10093.0,370275469560.166
Eslovênia,2015,4640,24190.0,42709468274.8137
Espanha,2015,3024533,11396855.0,1206164777553.12
Estados Unidos,2015,775131,3848755.0,18295019000000.0
França,2015,3617130,19353291.0,2442483452642.5
Grécia,2015,55680,190185.0,194567373678.099
Hungria,2015,5117,74688.0,125174166987.372
Israel,2015,19028,55248.0,302722655203.465
Itália,2015,8261383,25846195.0,1845428048839.1
Líbano,2015,6480,56196.0,49929337836.8159
Marrocos,2015,1755,15082.0,110413823841.592
Nova Zelândia,2015,117340,950751.0,178104220784.881
Portugal,2015,9952290,32547365.0,199038523119.639
Reino Unido,2015,90,1352.0,2927911140916.73
Romênia,2015,5950,7925.0,177885131240.315
Suíça,2015,1125,6284.0,694118186379.628
Turquia,2015,32247,109741.0,864313810469.009
Uruguai,2015,1399547,4069100.0,57680327998.6689
África do Sul,2016,578829,1686226.0,323585509674.481
Alemanha,2016,158386,606333.0,3537784107980.55
Argentina,2016,14098009,45214862.0,557532320662.955
Austrália,2016,498515,1537834.0,1206836962281.84
Áustria,2016,1485,7551.0,393687359770.273
Bélgica,2016,7,1090.0,474271566739.729
Brasil,2016,183,2127.0,1795693482652.52
Bulgária,2016,17777,55253.0,53964253211.84
Chile,2016,43400991,123183079.0,249344863933.461
China,2016,108,213.0,11233313730348.7
Emirados Árabes Unidos,2016,2175,35489.0,369255326235.771
Eslovênia,2016,14366,46972.0,44290685824.0682
Eslováquia,2016,1305,3878.0,
Espanha,2016,3948614,12221512.0,1243015667917.12
Estados Unidos,2016,725420,2924715.0,18804913000000.0
França,2016,3831566,15940341.0,2470407619777.13
Grécia,2016,6568,18637.0,193097239005.87
Hungria,2016,8315,58756.0,128609822750.039
Israel,2016,12548,44277.0,320958936788.842
Itália,2016,7936409,22216811.0,1887111188176.93
Líbano,2016,10665,71374.0,51147308774.1294
Noruega,2016,396,253.0,370956547619.048
Nova Zelândia,2016,50177,361030.0,188898209220.167
Portugal,2016,10821232,29495190.0,206305431241.638
Reino Unido,2016,5,255.0,2689106566899.61
Suíça,2016,6,245.0,687895460902.713
Ucrânia,2016,5319,9679.0,93355869403.9223
Uruguai,2016,2215692,5099162.0,57480788390.2581
África do Sul,2017,1138732,3241298.0,381448814653.456
Alemanha,2017,83289,315959.0,3763092263752.95
Argentina,2017,15461740,51770842.0,643628393281.364
Austrália,2017,354641,1246545.0,1325582658156.54
Áustria,2017,2655,24629.0,414926138132.691
Bélgica,2017,4376,45221.0,500908767351.53
Brasil,2017,845617,260135.0,2063514977334.32
Bulgária,2017,35284,68234.0,59309748166.1179
Chile,2017,51787643,145628860.0,276154259987.103
China,2017,1000,613.0,12310491333980.9
Eslováquia,2017,21424,64828.0,
Espanha,2017,7240535,19834451.0,1321754088818.83
Estados Unidos,2017,1372347,4110641.0,19612102000000.0
França,2017,5921728,25280255.0,2588868323334.71
Grécia,2017,40775,139486.0,200381103984.298
Hungria,2017,23813,168353.0,143112196040.326
Israel,2017,37302,120463.0,357227098125.658
Itália,2017,11538990,33707111.0,1970720904584.71
Líbano,2017,12737,93480.0,53027680685.9038
Noruega,2017,5,27.0,401745275035.261
Nova Zelândia,2017,31379,248412.0,206566916732.292
Portugal,2017,17345709,45032247.0,220862990767.229
Reino Unido,2017,16,1033.0,2680148052335.3
Romênia,2017,18509,52150.0,210147385855.419
Síria,2017,398,269.0,
Suíça,2017,138,2873.0,695200833086.499
Ucrânia,2017,865,931.0,112090505081.739
Uruguai,2017,5009098,7751966.0,65006039994.56
África do Sul,2018,1127053,3574371.0,405260723892.517
Alemanha,2018,142971,516975.0,4052008447223.53
Arábia Saudita,2018,563,3249.0,846583733333.333
Argentina,2018,15221318,52817642.0,524819892360.176
Austrália,2018,3518,21664.0,1427809041019.44
Áustria,2018,513995,1567866.0,452582294972.775
Bélgica,2018,163,1201.0,542638913427.921
Brasil,2018,18040,121806.0,1916933898038.36
Bulgária,2018,16166,17550.0,66289266348.6504
Canadá,2018,301,17418.0,1725329192783.02
Chile,2018,51104825,144731210.0,295857562991.709
China,2018,5,472.0,13894907857880.6
Eslovênia,2018,20976,68521.0,53689067639.9176
Eslováquia,2018,10800,17938.0,
Espanha,2018,5595268,19353631.0,1431642809327.06
Estados Unidos,2018,548655,2584781.0,20656516000000.0
França,2018,4653789,22688105.0,2781576320884.39
Geórgia,2018,8164,20416.0,17902544880.6471
Grécia,2018,41601,135185.0,213298873494.394
Hungria,2018,23742,113405.0,160565642983.587
Indonésia,2018,36,210.0,1042271532953.49
Irlanda,2018,107,954.0,395461216460.418
Israel,2018,40354,182017.0,375149611117.199
Itália,2018,10154564,34857594.0,2099435266458.67
Líbano,2018,19742,150044.0,54901519155.5556
Luxemburgo,2018,5,42.0,71000359760.4611
México,2018,134,804.0,1256300182879.73
Nova Zelândia,2018,130854,686193.0,211846555690.736
Países Baixos,2018,283,8719.0,929733599796.862
Peru,2018,77,653.0,222597009739.235
Porto Rico,2018,47,404.0,100958100000.0
Portugal,2018,17698831,53237413.0,242092894542.888
Reino Unido,2018,4126,51034.0,2871340347581.79
Republica Dominicana,2018,2,13.0,
Romênia,2018,13719,9695.0,243468683030.34
Rússia,2018,17483,66160.0,1657328773461.31
Suíça,2018,559,7647.0,725568717468.001
Turquia,2018,1591,1245.0,778972108040.602
Uruguai,2018,2836574,8467846.0,65344576348.2279
África do Sul,2019,1092042,3604038.0,389330032224.269
Alemanha,2019,101055,412794.0,3957208055215.68
Argentina,2019,16548931,54527380.0,447754683615.225
Austrália,2019,16292,1214643.0,1392723834562.64
Áustria,2019,348289,128379.0,442983642371.842
Bélgica,2019,7,30.0,536726344405.489
Brasil,2019,29295,246008.0,1873288205186.45
Bulgária,2019,10944,9915.0,68631726289.2794
Chile,2019,52697108,145471294.0,278285058719.466
China,2019,317,2458.0,14279968506271.7
Croácia,2019,450,2900.0,61467582193.6824
Eslovênia,2019,30968,101190.0,53909922735.545
Eslováquia,2019,459,3160.0,
Espanha,2019,5797980,17111436.0,1403496387686.27
Estados Unidos,2019,534870,2400830.0,21539982000000.0
França,2019,5324383,24299524.0,2722793515171.76
