País de destino,País de origem,Volume Litro,Valor Litro,Valor Total
Brasil,Africa do Sul,"11,629,790.00",US$ 3.46,"US$ 40,192,130.00"
Brasil,Alemanha,"2,104,070.00",US$ 4.19,"US$ 8,820,486.00"
Brasil,Argentina,"279,275,355.00",US$ 3.28,"US$ 915,474,439.00"
Brasil,Austrália,"5,980,594.00",US$ 3.80,"US$ 22,727,168.00"
Brasil,Brasil,"920,055.00",US$ 0.90,"US$ 830,862.00"
Brasil,Bulgária,"267,980.00",US$ 2.50,"US$ 671,124.00"
Brasil,Chile,"697,504,395.00",US$ 2.79,"US$ 1,947,326,534.00"
Brasil,Espanha,"68,454,317.00",US$ 3.37,"US$ 231,029,156.00"
Brasil,Estados Unidos,"7,869,818.00",US$ 4.95,"US$ 38,929,262.00"
Brasil,França,"66,066,443.00",US$ 5.56,"US$ 367,577,843.00"
Brasil,Grécia,"626,619.00",US$ 4.00,"US$ 2,506,294.00"
Brasil,Hungria,"291,098.00",US$ 7.71,"US$ 2,242,935.00"
Brasil,Israel,"418,927.00",US$ 4.48,"US$ 1,874,801.00"
Brasil,Itália,"157,026,424.00",US$ 3.15,"US$ 495,275,805.00"
Brasil,Líbano,"261,524.00",US$ 6.46,"US$ 1,689,433.00"
Brasil,Nova Zelândia,"1,202,907.00",US$ 7.84,"US$ 9,436,445.00"
Brasil,Portugal,"230,013,387.00",US$ 3.09,"US$ 711,598,411.00"
Brasil,Reino Unido,"28,559.00",US$ 11.05,"US$ 315,551.00"
Brasil,Uruguai,"36,494,965.00",US$ 2.59,"US$ 94,638,298.00"
Brasil,Áustria,"1,000,672.00",US$ 2.64,"US$ 2,642,094.00"
,Total,"1,567,437,899.00",,"US$ 4,895,799,071.00"
