País de origem,País de destino,Volume Litro,Valor Litro,Valor Total
Brasil,"Alemanha, República Democrática",913857,US$ 2.82,"US$ 2,578,247.00"
Brasil,Angola,168868,US$ 3.41,"US$ 576,189.00"
Brasil,Austrália,277139,US$ 1.74,"US$ 482,813.00"
Brasil,Bolívia,226347,US$ 1.44,"US$ 327,068.00"
Brasil,Bélgica,402762,US$ 3.47,"US$ 1,395,909.00"
Brasil,Canadá,207030,US$ 5.50,"US$ 1,139,596.00"
Brasil,China,2583375,US$ 1.91,"US$ 4,929,621.00"
Brasil,Dinamarca,79838,US$ 4.90,"US$ 390,836.00"
Brasil,Emirados Arabes Unidos,18729,US$ 8.09,"US$ 151,605.00"
Brasil,Estados Unidos,3793194,US$ 2.67,"US$ 10,113,658.00"
Brasil,França,319818,US$ 2.30,"US$ 735,081.00"
Brasil,Hong Kong,165387,US$ 3.17,"US$ 524,919.00"
Brasil,Itália,28519,US$ 5.92,"US$ 168,963.00"
Brasil,Japão,1204634,US$ 2.02,"US$ 2,435,496.00"
Brasil,Luxemburgo,67122,US$ 5.62,"US$ 376,982.00"
Brasil,Nova Zelândia,14368,US$ 5.73,"US$ 82,386.00"
Brasil,Paraguai,32995148,US$ 1.34,"US$ 44,236,294.00"
Brasil,Países Baixos,1238398,US$ 3.07,"US$ 3,796,569.00"
Brasil,Polônia,154773,US$ 3.95,"US$ 611,670.00"
Brasil,Portugal,433328,US$ 1.45,"US$ 627,730.00"
Brasil,Reino Unido,1250877,US$ 3.83,"US$ 4,796,011.00"
Brasil,Suriname,30206,US$ 1.71,"US$ 51,625.00"
Brasil,Suécia,98535,US$ 3.54,"US$ 348,397.00"
Brasil,Suíça,155394,US$ 6.02,"US$ 935,027.00"
Brasil,"Tcheca, República",66934,US$ 5.37,"US$ 359,743.00"
