Volume Litro,Valor,Valor Litro
913857,"US$ 2,578,247.00",US$ 2.82
168868,"US$ 576,189.00",US$ 3.41
277139,"US$ 482,813.00",US$ 1.74
226347,"US$ 327,068.00",US$ 1.44
402762,"US$ 1,395,909.00",US$ 3.47
207030,"US$ 1,139,596.00",US$ 5.50
2583375,"US$ 4,929,621.00",US$ 1.91
79838,"US$ 390,836.00",US$ 4.90
18729,"US$ 151,605.00",US$ 8.09
3793194,"US$ 10,113,658.00",US$ 2.67
319818,"US$ 735,081.00",US$ 2.30
165387,"US$ 524,919.00",US$ 3.17
28519,"US$ 168,963.00",US$ 5.92
1204634,"US$ 2,435,496.00",US$ 2.02
67122,"US$ 376,982.00",US$ 5.62
14368,"US$ 82,386.00",US$ 5.73
1238398,"US$ 3,796,569.00",US$ 3.07
154773,"US$ 611,670.00",US$ 3.95
433328,"US$ 627,730.00",US$ 1.45
1250877,"US$ 4,796,011.00",US$ 3.83
30206,"US$ 51,625.00",US$ 1.71
98535,"US$ 348,397.00",US$ 3.54
155394,"US$ 935,027.00",US$ 6.02
66934,"US$ 359,743.00",US$ 5.37
