País,Volume Litro,Valor,Valor Litro
Africa do Sul,11629790,"US$ 40,192,130.00",US$ 3.46
Alemanha,2104070,"US$ 8,820,486.00",US$ 4.19
Argentina,279275355,"US$ 915,474,439.00",US$ 3.28
Austrália,5980594,"US$ 22,727,168.00",US$ 3.80
Brasil,920055,"US$ 830,862.00",US$ 0.90
Bulgária,267980,"US$ 671,124.00",US$ 2.50
Chile,697504395,"US$ 1,947,326,534.00",US$ 2.79
Espanha,68454317,"US$ 231,029,156.00",US$ 3.37
Estados Unidos,7869818,"US$ 38,929,262.00",US$ 4.95
França,66066443,"US$ 367,577,843.00",US$ 5.56
Grécia,626619,"US$ 2,506,294.00",US$ 4.00
Hungria,291098,"US$ 2,242,935.00",US$ 7.71
Israel,418927,"US$ 1,874,801.00",US$ 4.48
Itália,157026424,"US$ 495,275,805.00",US$ 3.15
Líbano,261524,"US$ 1,689,433.00",US$ 6.46
Nova Zelândia,1202907,"US$ 9,436,445.00",US$ 7.84
Portugal,230013387,"US$ 711,598,411.00",US$ 3.09
Reino Unido,28559,"US$ 315,551.00",US$ 11.05
Uruguai,36494965,"US$ 94,638,298.00",US$ 2.59
Áustria,1000672,"US$ 2,642,094.00",US$ 2.64
